what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382606673811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1382606673811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606674967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606675623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606675967
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382606675998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1382606675998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606677061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606677654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606678264
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382606678295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1382606678295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606679014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606679701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606680029
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382606680061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1382606680061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606680983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382606681592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606681936
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382606681951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1382606681951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606690748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606693467
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.excludeCommand",1382606693717
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1382606696404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606696686
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1382606779279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382606787983
